author,comments,reply_comments,reply_authors,update
小夏子2023,海南离岛免税新政实施首周吸金5.06亿元，政策刺激消费效果明显，消费潜力持续释放,,,11-10
小夏子2023,大消费概念拉升，食品饮料领涨，中国中免涨停,,,11-10
股友7902335W3T,加油破掉0.59啊，让我看看你的极限（虽然我早就清空了，0.59赚5块）这只股票,,,11-10
股友313628Kv35,今天也清了一半，套太久了,,,11-10
有责任心的宋诺,白酒突破了去年10月8日的高点，食品饮料板块早就突破了10月8日的高点，这垃基真,,,11-10
基民19A32E9566,东鹏都被你买到了，唯一1个绿的,,,11-10
老豆说,鬼灭之刃…,,,11-10
胡汉三321,老登有时间也能硬一把，当然第二天又会疲软,,,11-10
凯恩量子投资,难得涨一次,,,11-10
票pzae,这个拉吉经理应该把东鹏特饮和牛奶除去！,,,11-10
股友39n2X77039,能涨停2个板,,,11-10
基民R1388t8519,太磨叽了,,,11-10
打败兔,年底了进点食品饮料,,,11-10
龍耀88,民以食为天，食品饮料股低位筑底待涨，迅即抛掉已大幅上涨至高风险价区的科创类股，果,,,11-09
股友13r6866h31,这个股说是僵尸股，一点都不错,,,11-07
股友9z353310K8,$食品饮料ETF(SH515170)$,,,11-06
Jim赵,买这个就是买茅台，到1500再卖。,,,11-07
股友F004Vp,这个咋不涨八毛多的本啥时候回本有懂的讲一讲,,,11-07
股友wE61253097,周线横着震荡了一年多这个股真牛逼佩服,,,11-07
江西巴雷特,难不成是在等我卖了才涨吗,,,11-07
胡汉三321,真没用什么资金砸盘了，但是没有资金进哪,,,11-07
静默而行,买ETF一定要注意看清楚它的持仓情况，进来后才看见这货持仓的主体都是酒。后悔没有,,,11-05
股友502920IV13,我割了还不行吗,,,11-06
投资参谋,聚焦“十五五”，解读农业和消费,,,11-06
股友9mfm7Y,大盘4000点，你这垃圾和白酒还在3000点。天天冲高回落。,,,11-06
巴克达,会有超级大3浪？,,,11-05
账户已注销,这个无法抢救了,,,11-06
胡汉三321,稳如。,,,11-06
遇见2015那年,卖了。放弃了,,,11-06
账户已注销,尾盘想卖出8万股的，一不小心按了买入,,,11-06
巴克达,明天高开,,,11-06
子涵2,一边拿着食品饮料，一边配了点$富国中证绿色电力ETF发起式联接C$需求激增推高用,,,11-06
湖北宋宇飞,0.144,,,11-06
小夏子2023,白酒需求景气度处历史底部，向下风险或有限,,,11-06
股友BzwwSo,没见你涨过，跌起来挺麻利,,,11-05
娱乐财富,1元买的还有吗,,,11-05
积流成海2025A12o,这个真不容易，始终不动弹,,,11-05
hk9jwhunmwa,捏着这厮再也没脾气了,,,11-05
hk9jwhunmwa,永无出头之日了吗？,,,11-05
洒脱随性的白榆1,老鼠仓,,,11-05
凯恩量子投资,等待经济复苏，才会上涨,,,11-05
目标翻翻25,这是指数，买到现在一直喋喋不休，以前买科创，创业板那个指数都比你强，算了等回,,,11-04
自由飞翔888,$食品饮料ETF(SH515170)$,,,11-04
遇见2015那年,消费集体退出历史舞台吗？还是市值对他们没意义？这是想干嘛？,,,11-04
Jim赵,今天买它纯属因为茅台占比高，我又买不起茅台，只要茅台涨到1500我就卖了。,,,11-04
小松鼠9,手里有华夏有色C，顺手配了点$富国中证港股通互联网ETF发起式联接C$都是细分赛,,,11-04
一起来飞啊飞,冲冲冲,,,11-04
飞黄成金得牛魔,明天惨了!五粮液净利润下降65%!比广发证券研报还低15%!怎么得了哦!洋河低三,,,10-30
一个_老人,所有的均线都跌破了，无语,,,11-04
遇见2015那年,一个很傻的逻辑。就是想少亏一点。所以左海天，右顺丰，中间食品,,,11-04
胡汉三321,这b又创新低了!,,,11-04
基民3U7355t675,到底了,,,11-04
韮黄瓜,垃圾食品,,,11-04
小夏子2023,食品饮料板块或迎中长期配置机会,,,11-04
遇见2015那年,左海天，右顺丰，横刀立马食品饮料ETF哈哈哈哈哈哈哈哈哈哈！,,,11-04
龙头断板,减仓了感觉明天大跌,,,11-03
及时雨818,有多少吃多少，我全收咯,,,11-04
江西巴雷特,怎么会这个样子,,,11-04
小夏子2023,消费分化中寻机遇，食品饮料板块结构性机会凸显,,,11-04
ly2010周期哥,挂一天的0.577竟没卖出,,,10-31
win_cent,下半年了，这个家伙应该有一波行情吧,,,10-31
Jim赵,为什么这种基金它不分红啊？,,,11-03
凯恩量子投资,消费疲软，行情不好,,,11-03
老豆说,咖啡机邪修泡碧螺春，你还别说，味道不错又是科技股完胜的一天，科创创业自不必多说，,,,10-29
及时雨818,轮也该轮到你了吧。,,,11-03
执着的王麻子,我配了红利低波打底，又搭了富国中证港股通互联网ETF联接C近2年涨56%，跑赢大,,,10-31
股友62z07h0275,年底了怎么也会涨涨,,,10-31
拉萨抓妖师,曾经喝酒吃药行情有多疯狂，现在白酒医药就有多惨淡，一切因果轮回终有报,,,10-31
账户已注销,钝刀子切肉,,,10-30
买民企能发财,别人天天新高，垃圾还在天天新低，一点也不敢买,,,10-29
hotman731,各位老乡，别走啊,,,10-29
亏不起的龙哥,各位，这玩意儿稳不稳？稳亏的文啊,,,10-29
多余的段菁菁1,亏3个点，我走了，希望坚守的你们发财。,,,10-29
Bryan_0123,这应该能算两市最垃圾的板块了吧,,,10-29
股友313628Kv35,被套牢了,,,10-29
文风子,还有这么多人和白酒杠。,,,10-27
顺应趋势996,赶紧下来，0.56等你,,,10-29
股友Z9e98V,我也设置了网格交易。成本价0.582元，每涨、跌0.005元自动交易一次。,,,10-28
大阳小平,各位兄弟这个ETF有分红吗？,,,10-29
完蛋了被套咯,老登，哪里跑,,,10-29
小夏子2023,三季报窗口期 ，消费板块估值修复机遇显现,,,10-29
婀娜妩媚的孙柏,消费还是绿的…应该快了吧。。。等的好煎熬啊,,,10-28
洒脱随性的白榆1,启动定投,,,10-28
股友SoGFD4,买512690都不能买这垃基，弱爆了,,,10-28
及时雨818,这个位置有的是时间陪你玩。,,,10-28
基金资讯,华夏中证细分食品饮料产业主题交易型开放式指数证券投资基金2025年第3季度报告,,,10-27
crystalxxq,$食品饮料ETF(SH515170)$,,,10-27
股友TYG5cA,低位放量，压盘不涨。输的是时间，赢的是目标。,,,10-27
深沉的淡如水,最近发现我持有的食品饮料基金和科技赛道其实挺配一个稳，一个猛！富国创业板人工智能,,,10-27
